英文,音标,中文
disaster,/dIz:st(r)/,n. 灾难；灾害
tornado,/tO:neId/,n.（pl. -oes or -os）龙卷风；旋风
drought,/drat/,n. 旱灾；久旱
landslide,/lndslaId/,
n.（also landfall）（山地或悬崖的）崩塌；滑坡,,
slide,/slaId/,"vi. & vt.（slid, slid）（使） 滑行；滑动"
tsunami,/tsu:n:mi/,n. 海啸
flood,/fld/,n. 洪水；大量 vi. 淹没；大量涌入 vt. 使灌满水；淹没
volcanic eruption,/vlknIk  Irpn/,火山喷发
magnitude/mgnItju:d/,,n. 震级；重大
rescue,/reskju:/,n. & vt. 营救；救援
damage,/dmId/,vt. 损害；破坏 n. 损坏；损失
destroy,/dIstrOI/,vt. 摧毁；毁灭
evacuate,/IvkjueIt/,vt. 疏散；撤出 vi. 撤离
helicopter,/helIkpt(r)/,n. 直升机
death,/de/,n. 死；死亡
affect,/fekt/,vt. 影响；（疾病）侵袭；深深打动
shelter,/elt(r)/,n. 避难处；居所；庇护 vt. 保护；掩蔽 vi. 躲避（风雨或危险）
crack,/krk/,n. 裂纹；裂缝 vi. & vt. （使）破裂
gas,/gs/,n. 气体；燃气；汽油
as if,,似乎；好像；仿佛
ruin,/ru:In/,n. & vt. 破坏；毁坏
in ruins,,严重受损；破败不堪
percent,/psent/,n. 百分之…… adj. & adv. 每一百中
brick,/brIk/,n. 砖；砖块
metal,/metl/,n. 金属
shock,/k/,n. 震惊；令人震惊的事；休克 vt. （使）震惊
in shock,,震惊；吃惊
electricity,/IlektrIsti/,n. 电；电能
trap,/trp/,vt. 使落入险境；使陷入圈套 n. 险境；陷阱
bury,/beri/,vt. 埋葬；安葬
breathe,/bri:/,vi. & vt. 呼吸
revive,/rIvaIv/,vt. & vi. 复活；（使）苏醒
revival,/rIvaIvl/,n. 振兴；复苏
effort,/eft/,n. 努力；艰难的尝试；尽力
unify,/ju:nIfaI/,vi. & vt. 统一；（使）成一体
wisdom,/wIzdm/,n. 智慧；才智
context,/kntekst/,n. 上下文；语境；背景
suffer,/sf/,vt. 遭受；蒙受 vi. （因疾病、痛苦、悲伤等）受苦
volcano,/vlkeIn/,n.（pl. -oes or -os）火山
erupt,/Irpt/,vi. & vt.（火山）爆发；（岩浆、烟等）喷出
supply,/splaI/,n. 供应（量）；补给；[pl.] 补给品 vt. 供应；供给
typhoon,/taIfu:n/,n. 台风
in the open air,,露天；在户外
hurricane,/hrIkn/,n. （尤指西大西洋的）飓风
survive,/svaIv/,vi. 生存；存活 vt. 幸存；艰难度过
power,/pa(r)/,n. 电力供应；能量；力量；控制力
tap,/tp/,vi. & vt. 轻叩；轻敲；轻拍 n. 水龙头；轻叩；轻敲
pipe,/paIp/,n. 管子；管道
whistle,/wIsl/,vi. 吹口哨；发出笛声 vt. 吹口哨 n. 哨子（声）；呼啸声
emergency,/im:dnsi/,n. 突发事件；紧急情况
calm,/k:m/,adj. 镇静的；沉着的 vt. 使平静；使镇静
aid,/eId/,n. 援助；帮助；救援物资 vi. & vt.（formal）帮助；援助
kit,/kIt/,n. 成套工具；成套设备
first aid kit,,急救箱
on hand,,现有（尤指帮助）
crash,/kr/,vt. & vi. 碰撞；撞击 n. 撞车；碰撞
sweep,/swi:p/,"vt. & vi. （swept, swept）打扫；清扫"
sweep away,,消灭；彻底消除
wave,/weIv/,n. 海浪；波浪 vi. & vt. 挥手；招手
strike,/straIk/,"vi. & vt. （struck, struck/stricken）侵袭；突击；击打 n. 罢工；罢课；袭击"
deliver/dIlIv,,(r)/ vt. & vi. 递送；传达 vt. 发表
summary,/smri/,n. 总结；概括；概要
effect,/Ifekt/,n. 影响；结果；效果
length,/leN/,n. 长；长度
Ecuador,/ekwdO:(r)/,厄瓜多尔（国家名）
Memphis,/memfis/,孟菲斯（美国城市）
Alberta,/lb:t/,艾伯塔省（加拿大省份）
Colombo,/klmb/,科伦坡（斯里兰卡首都）
Sri Lanka,/srI lNk/,斯里兰卡（国家名）
Indonesia,/Indni:/,印度尼西亚（国家名）
Thailand,/taIlnd/,泰国（国家名）
Malaysia,/mleI/,马来西亚 （国家名）
Sumatra,/sm:tr/,Island 苏门答腊岛
Chandra Theeravit,/t:ndr i:rvit/,钱德拉·特拉维
