英文,音标,中文
astronaut,/{str@nO:t/,n. 宇航员；太空人
procedure,/pr@si:dZ@(r)/,n. 程序；步骤；手续
mental,/mentl/,adj. 精神的；思想的
cm abbr. (centimetre,/sentImi:t@(r)/,or
centimeter),,厘米
intelligent,/IntelIdZ@nt/,adj. 有智慧的；聪明的；有智力的
rocket,/rQkIt/,n. 火箭；火箭弹
gravity,/gr{v@ti/,n. 重力；引力
frontier,/frVntI@(r)/,n. 边境；国界；边远地区
vehicle,/vi:@kl/,n. 交通工具；车辆
determined,/dIt3:mInd/,adj. 有决心的；意志坚定的
determine,/dIt3:mIn/,vt. 查明；确定；决定
satellite,/s{t@laIt/,n. 人造卫星；卫星
launch,/lO:ntS/,vt. & n. 发射；发起；上市
orbit,/O:bIt/,n. （环绕地球、太阳等运行的）轨道；势力范围 vt. & vi. 沿轨道运行；环绕……运行
giant,/dZaI@nt/,adj. 巨大的；伟大的 n. 巨人；巨兽；伟人
leap,/li:p/,"n. 跳跃；剧增；剧变 (leapt, leapt /lept/ or leaped, leaped) vi. & vt. 跳过；跃过"
mankind,/m{nkaInd/,n. 人类
agency,/eIdZ@nsi/,n. （政府的）专门机构；服务机构；代理处
transmit,/tr{nsmIt/,vt. & vi. 传输；发送
data,/deIt@/,n.［pl.］资料；数据
on board,,在宇宙飞船上；在船上；在飞机上
spacecraft,/speskr:ft/,n. 航天器；宇宙飞船
disappointment,/%dIs@pOIntm@nt/,n. 失望；沮丧
disappointed,/%dIs@pOIntId/,adj. 失望的；沮丧的
desire,/dIzaI@(r)/,n. 渴望；欲望 vt. 渴望；期望
universe,/ju:nIv3:s/,n. 宇宙；天地万物
carry on,,继续做，坚持干
independently,/%IndIpend@ntli/,adv. 独立地；自立地
independent,/%IndIpend@nt/,adj. 独立的；自立的
spacewalk,/speIswO:k/,n. 太空行走；太空行走的时间
jade,/ded/,n. 玉；翡翠；玉器
module,/mQdju:l/,n. 舱；组件；模块
signal,/sIgn@l/,vt. & vi. 标志着；标明；发信号 n. 信号；标志
in the hope of doing sth,,抱着……的希望
so as to,,(do sth) 为了；以便
recycle,/%/,vt. 回收利用；再利用
muscle,/mVsl/,n. 肌肉；实力；影响力
lack,//,n. 缺乏；短缺 vt. 没有；缺乏
float flt,,vi. 浮动；漂流；漂浮 vt. 使浮动；使漂流
otherwise,/VD@waIz/,adv. 否则；要不然
beyond,/bIjQnd/,prep. 在更远处；超出
solar ,,adj. 太阳的；太阳能的
solar system,,太阳系；类太阳系
current,/kVr@nt/,adj. 当前的；现在的 n. 水流；电流；思潮
figure out,,弄懂；弄清楚；弄明白
sufficient,/s@fISnt/,adj. 足够的；充足的
soap,/s@Up/,n. 肥皂
towel,/taU@l/,n. 毛巾；抹布
telescope,/telIsk@Up/,n. 望远镜
microwave,/maIkr@weIv/,n. （also microwave oven）微波炉
tissue,/；sj/,n. 纸巾；（人、动植物细胞的） 组织
facility,/f@sIl@ti/,n. 设施；设备
keen,/ki:n/,adj. 热衷的；渴望的
globe,/gl@b/,n. 地球；世界；地球仪
argue,/:gju:/,vt. & vi. 论证；争辩；争论
argument ,,n. 争论；争吵；论点
fatal,/feItl/,adj. 致命的；灾难性的
shallow,/S{l@U/,adj. 肤浅的；浅的
result in,,导致；造成
pattern,/p{tn/,n. 模式；图案；模范
analysis,/nlsIs/,n. (pl. analyses /nlsiz/) （对事物的）分析；分析结果
as a result,,所以；结果（是）
high-end,,adj. 高端的
monitor,/mQnIt@(r)/,n. 监视器；监测仪 vt. 监视；监测；监控
regularly,/regj@l@li/,adv. 经常；定期地
regular,/regj@l@(r)/,adj. 定期的；经常的；正常的
foam,//,n. 泡沫橡胶；泡沫
pillow,/pIl@U/,n. 枕头
smartphone,/sm:tf@Un/,n. 智能手机
resource,/rIsO:s/,n. 资源；财力；物力
limited,/lImItId/,adj. 有限的
provide for sb,,提供生活所需
closing,/kl@UzIN/,adj. 结尾的；结束的 n. 停业；关闭；倒闭
in closing,,最后
mystery,/mIstri/,n. 神秘事物；谜
run out,,用完；耗尽
attach,/@t{tS/,vt. 系；绑；贴
oxygen,/QksIdZ@n/,n. 氧；氧气
Sputnik,/sptnIk/,1 “旅伴一号”（苏联发射的人类第一颗人造卫星）
the USSR,,abbr. the Union of Soviet Socialist
Republics,,苏联
Yuri Gagarin,/j@ri g@g:rIn/,尤里·加加林（苏联宇航员）
Neil Armstrong,/ni:l :mstrQN/,尼尔·阿姆斯特朗（美国宇航员）
NASA,/n{s@/,abbr. National Aeronautics and Space
Administration,,( 美国) 国家航空与航天局
Voyager,/vOIIdZ@(r)/,1“旅行者一号”
Soyuz,/s:jz=/,11“联盟11 号”
Challenger,/tS{lIndZ@(r)/,“挑战者”号航天飞机
the International Space Station,,国际空间站
Jade Rabbit “,,玉兔”月球车
Mars,/m:z/,火星
Jupiter,/dZu:pIt@(r)/,木星
