英文,音标,中文
classical,/klskl/,adj. 古典的；经典的
hip-hop,/hphp/,n. 嘻哈音乐；嘻哈文化
techno,/tekn/,n. 泰克诺音乐（一种电子音乐）
energyn.,,能源；能量；精力
soul,/sl/,n. 灵魂；心灵
bagpipes,/bgpaIps/,n. [pl.] 风笛
stringed,/strINd/,adj. 有弦的
stringed instrument,,弦乐器
virtual,/vtul/,adj. 很接近的；事实上的；虚拟的
virtual choir,/kwa(r)/,虚拟合唱团
composition/kmpzn/,,n. 成分；（音乐、艺术、诗歌的）作品
opportunity,/ptjunti/,n. 机会；时机
perform,/pf(r)m/,vi. & vt. 表演；履行；执行
performance,/pf(r)mns/,n. 表演；演技；表现
performer,/pf(r)m(r)/,n. 表演者；演员
onto,/nt/,prep. （朝）向
studio,/stjudi/,n. 演播室；（音乐的）录音棚；工作室
ordinary,/dnri/,adj. 普通的；平凡的
enable,/nebl/,vt. 使能够；使可能
prove,/pruv/,vt. 证明；展现
award,/wd/,vt. 授予 n. 奖品
composer,/kmpUz(r)/,n. 作曲者；作曲家
conductor,/kndkt(r)/,n. （乐队、合唱团等的）指挥；（公共汽车的）售票员
fall in love with,,爱上
original,/rdnl/,adj. 原来的；独创的；原作的 n. 原件；原作
phenomenon/fnmnn/,,（pl. phenomena /-n/） n. 现象
stage,/sted/,n. （发展或进展的）时期；阶段； （多指剧场中的）舞台
altogether,/lte(r)/,
adv.,,（用以强调）全部；总共
thus,/s/,adv. 如此；因此
band,/bnd/,n. 乐队；带子
rap​,/rp/,n. 快速敲击；说唱音乐 vi. & vt. 敲击；（说唱歌中的）念白
nowadays,/nadez/,adv. 现在；目前
gradual,/grdul/,adj. 逐渐的；渐进的
capable,/kepbl/,adj. 有能力的；有才能的
relief,/rlif/,n. （焦虑、痛苦的）减轻或消除； （不快过后的）宽慰、轻松或解脱
cure,/kj(r)/,vt. 治愈；治好（疾病）；解决（问题） n. 药物；治疗；（解决问题、改善糟糕情况的）措施
absorbed,/bsO:bd/,in sth/sb 被……吸引住；专心致志
previous,/privis/,adj. 先前的；以往的
unemployed,/nImplOId/,adj. 失业的；待业的
romantic,/rmntk/,adj. 浪漫的 n. 浪漫的人
album,/lbm/,n. 相册；集邮簿；音乐专辑
impact,/mpkt/,n. 巨大影响；强大作用；冲击力
aim,/em/,n. 目的；目标 vi. & vt. 力求达到；力争做到；瞄准 vt. 目的是；旨在
set sth up,,安装好（设备或机器）
equipment,/kwIpmnt/,n. 设备；装备
try out​,,参加……选拔（或试演）
talent,/tlnt/,n. 天才；天资；天赋
piano,/pin/,n. 钢琴
assume,/sju:m/,vt. 以为；假设
addition,/dISn/,n. 添加；加法；增加物
in addition,,(to sb/sth) 除……以外（还）
disease,/dziz/,n. （疾）病
ache,/ek/,vi. & n. 疼痛
treatment,/tritmnt/,n. 治疗；对待；处理
from,,(then) on 从（那）时起
lean,/li:n/,"vt. （leant/leaned, leant/leaned）依靠；倾斜"
get through,,（设法）处理；完成
moreover,/mrv(r)/,adv. 而且；此外
satisfaction,/stsfkn/,n. 满足；满意；欣慰
being,/bi/,n. 身心；存在；生物
various,/veris/,adj. 各种不同的；各种各样的
somehow,/smha/,adv. 以某种方式（或方法）；不知怎么地
rhetorical,/rtrkl/,adj. 修辞的
metaphor,/metf(r)/,n. 暗喻；隐喻
personification,/psnfken/,n. 拟人；人格化；化身
repetition,/reptn/,n. 重复；重做
simile,/smli/,n. 明喻
outline,/atlan/,n. & vt. 概述；概要
reaction,/rikn/,n. 反应；回应
Eric Whitacre​/erk wtk,,(r)/ 埃里克·惠塔克
Nevada,/nvd/,内华达州（美国）
Mozart,/mts(r)t/,莫扎特
Lux Aurumque,/lks rmk/,《金色光芒》（歌曲名）
UNICEF,/junsef/,abbr. United Nations Children’s
Fund,,联合国儿童基金会
Las Vegas,/ls ves; NAmE ls-/,拉斯维加斯（美国城市）​
John A. Logan,/ln/,约翰·洛根
