英文,音标,中文
drama,/drm/,n. 戏；剧；戏剧艺术
sorrow,/sr/,n. 悲伤；悲痛；伤心事 vi. 感到悲伤
imagery,//,n. 形象的描述；意象；像
literary,/ltrri/,adj. 文学的；爱好文学的；有文学作品特征的
rhyme,/ram/,n. 押韵词；押韵的短诗 vi. & vt. （使）押韵
rhythm,/rm/,n. 节奏；韵律；规律
nursery/nsri/,,adj. 幼儿教育的 n. 托儿所；保育室
nursery rhyme,,童谣；儿歌
folk,/fk/,adj. 民间的；民俗的；普通百姓的
mockingbird,/mkbd/,n. 嘲鸫（美洲鸣禽，能模仿别种鸟的鸣叫）
diamond,/damnd/,n. 钻石；金刚石；菱形
brass,/brs/,n. 黄铜；黄铜制品；铜管乐器
billy goat,/bli t/,公山羊
bull,/bUl/,n. 公牛
recite,/rsat/,vt. 背诵； 吟诵；列举
bee,/bi/,n. 蜜蜂
dewdrop,/djudrp/,n. 露珠；水珠
dawn,/dn/,n. 黎明；开端；萌芽
clover/klv,,(r)/ n. 三叶草
butterfly,/btfla/,n. 蝴蝶
lawn,/ln/,n. 草坪；草地
amateur,//,n. 业余爱好者 adj. 业余的；业余爱好的
cinquain,/sken/,n. 五行诗
be made up of,,由……组成（构成）
mood,/mud/,n. 情绪；心情；语气
tease,/tiz/,vi. & vt. 取笑（某人）；揶揄；逗弄
haiku,/haku/,n. 俳句
syllable,/slbl/,n. 音节
format,//,n. 格式；总体安排；（出版物的）版式 vt. 格式化
respectively,/rspektvli/,adv. 分别；各自；依次为
respective,/rspektv/,adj. 分别的；各自的
blossom,/blsm/,n. 花朵；花簇
delicate,/delkt/,adj. 精美的；精致的；脆弱的
await,//,vt. 等候；期待；将发生在
revolve,//,vi. 旋转；环绕；转动
utter,//,vt. 出声；说；讲 adj. 完全的；十足的；彻底的
comprehension,/kmprhenn/,n. 理解力；领悟力；理解练习
shelf,/elf/,n. （pl. shelves //）架子；搁板
core,/k/,n. 核心；精髓；（水果的）核儿
cherry,/tSeri/,n. 樱桃；樱桃树；樱桃色 adj. 樱桃色的；鲜红色的
cherry blossom,,樱花
blank,/blk/,adj. 空白的；无图画（或韵律、装饰）的；没表情的 n. 空白；空格
verse,/vs/,n. 诗；韵文；诗节
civilian,/svlin/,n. 平民；老百姓
prose,/prUz/,n. 散文
sympathetic,/smpetk/,adj. 同情的；有同情心的；赞同的
sympathy,/smpi/,n. 同情；赞同
version,/vn/,n. 版本；（从不同角度的）说法
innocence,/nsns/,n. 天真；单纯；无罪
innocent,/nsnt/,adj. 天真无邪的；无辜的；无恶意的
era,/r/,n. 时代；年代；纪元
correspondence,/krspndns/,n. 来往信件；通信联系
correspond,/krspnd/,vi. 相一致；符合；相当于；通信
sow,/s/,"vt. & vi. （sowed, sown // or sowed） 播种；种"
seed,/sid/,n. 种子；起源；萌芽
dominant,/dmnnt/,adj. 首要的；占支配地位的；显著的
sonnet,//,n. 十四行诗
deadline,/dedlan/,n. 最后期限；截止日期
contest,/kntest/,n. 比赛；竞赛；竞争 /kntest/ vt. 争取赢得（比赛、选举等）；争辩 辩
polish,/pl/,vt. 修改；润色；抛光 n. 上光剂；抛光；擦亮
string,/r/,"n. 细绳；线；一串 vt. （strung /r/, strung）悬挂；系 adj. 弦乐器的；线织的"
wherever,//,conj. 在任何地方；在所有……的情况下 adv. （用于问句）究竟在（到）哪里
barren,//,adj. 贫瘠的；不结果实的
grief,//,n. 悲伤；悲痛；伤心事
complicated,//,adj. 复杂的；难懂的
variation,//,n. 变化；变体；变奏曲
racial,//,adj. 种族的；人种的
prejudice,//,n. 偏见；成见 vt. 使怀有（或形成）偏见
Shakespeare,//,莎士比亚 （英国剧作家、诗人）
The Crescent,//,Moon 《新月集》
Tagore,//,泰戈尔（印度诗人、文学家）
Elizabeth Barrett Browning,,/ / 伊丽莎白·巴雷特·布朗宁（英国诗人）
Robert Browning,,罗伯特·布朗宁（英国诗人）
the Victorian,//,era 维多利亚时代
Sonnets from the Portuguese,//,《葡萄牙人的十四行诗集》
Langston Hughes,//,兰斯顿·休斯
