英文,音标,中文
iconic,/aknk/,adj. 符号的；图标的
foundation,/fanden/,n. 创建；基础；地基
political,/pltkl/,adj. 政治的
didgeridoo,/ddridu/,n. 迪吉里杜管
located,/lketd/,adj. 位于
equator,/kwet(r)/,n. 赤道
barbecue,/bbkju/,n. (abbr. BBQ) 户外烧烤；烤架
bakery,/bekri/,n. 面包（糕饼）店；面包厂
joint,/dnt/,n. 公共场所（尤指价格低廉的饮食和娱乐场所）； 关节 adj. 联合的；共同的
butcher,/bt(r)/,n. 肉贩；屠夫；刽子手
premier,/premi(r); NAmE prmr/,adj. 最著名的；第一的；首要的 n. 总理；首相
herb,/hb/,n. 药草；香草；草本
dim sim,/dm sm/,（特指澳大利亚的）点心
hollow,/hl/,adj. 中空的；空心的
vibrate,/vabret/,vt. & vi.（使）振动
horn,/hn/,n.（乐器）号
pitch,/pt/,n. 音高
straightforward,/stretfwd/,adj. 坦率的；简单的
slogan,/slgn/,n. 标语；口号
minister,/mnst(r)/,n. 部长；大臣；外交使节
prime minister,,首相；总理 的
frog,/frg/,n. 蛙；青蛙
arrow,/r/,n. 箭；箭头
entitle,/ntatl/,vt. 给……命名（或题名）；使享有权利
getaway,/getwe/,n. 适合度假的地方
dive,/dav/,"vi. & n.（dived/dove, dived） 潜水；跳水；俯冲"
kayaking,/kak/,n. 划皮艇
peak season,,高峰季节
freedom,/fridm/,n. 自由；不受……影响的状态
domain,/dmen; dmen/,n. 领域；领土；范围
sponsor,/spns(r); NAmE spnsr/,vt. 倡议；赞助；主办
n.（法案等的）倡议者；赞助者,,
liberty,/lbti/,n. 自由
golf,/glf/,n. 高尔夫球运动
strait,/stret/,n. 海峡
sample,/smpl/,n. 样本；样品
monument,/mnjumnt/,n. 纪念碑（或馆、堂、像等）；历史遗迹
kiwi,/kiwi/,n. 几维（新西兰鸟）
geyser,/giz(r); gazr/,n. 间歇泉
sulphuric,/slfjrk/,pool 硫黄池
manuka,/mnuk/,honey 麦卢卡蜂蜜
bungee,/bndi/,jumping 蹦极跳
a flock,/flk/,of 一群（羊或鸟）
geothermal,/diml/,park 地热公园
distribution,/dstrbjun/,n. 分布；分配；分发
pouch,/pat/,n. 育儿袋；小袋子；荷包
temporary,/temprri/,adj. 暂时的；短暂的
phase,/fez/,n. 阶段；时期
trunk,/trk/,n. 树干
licensed,/lasnst/,adj. 得到正式许可的
license,/lasns/,vt. 批准；许可
n.（= licence）许可证；执照,,
session,/sen/,n. 一场；一段时间；会议
frequency,/frikwnsi/,n. 发生率；重复率； （声波或电磁波振动的）频率
violent,/valnt/,adj. 暴力的；猛烈的
violence,/valns/,n. 暴力；暴行
nest,/nest/,n. 巢穴；鸟窝；秘密窝点
mammal,/mml/,n. 哺乳动物
biology,/baldi/,n. 生理；生物学
hatch,/ht/,vi. 孵出；破壳 vt. 使孵出；策划；（尤指）密谋
capacity,/kpsti/,n. 能力；容量
a handful of,,少数人（或物）；一把（的量）
fence,/fens/,n. 栅栏；围栏
prison,/przn/,n. 监狱；监禁
grand,/grnd/,adj. 大；宏大的
Aborigine,/brdni/,澳大利亚土著
Sydney,/sdni/,悉尼（澳大利亚城市）
Bondi,/bnda/,Beach 邦迪海滩
Chiang Mai,/tima/,清迈（泰国城市）
the Bay of Islands,,岛屿湾
the haka,/hk/,哈卡舞（传统毛利伴歌战舞）
Edmonds,/edmndz/,埃德蒙兹
Felicity,/flsti/,费莉西蒂
Tasmanian,/tzmenin/,devil 塔斯马尼亚恶魔；袋獾
Tasmania,/tzmeni/,塔斯马尼亚（澳大利亚州名）
duck-billed platypus,/pltps/,鸭嘴兽
